id,generic_type,specific_type,class
dbpedia_16895,dbo:Agent,dbo:Person,1
dbpedia_16895,dbo:Agent,dbo:Family,0
dbpedia_16895,dbo:Agent,dbo:Agent,1
dbpedia_16895,dbo:Agent,dbo:MedicalSpecialty,0
dbpedia_7821,dbo:Location,dbo:City,1
dbpedia_7821,dbo:Location,dbo:HistoricalSettlement,0
dbpedia_7821,dbo:Location,dbo:State,1
dbpedia_7821,dbo:Location,dbo:Department,0
dbpedia_7821,dbo:Location,dbo:Settlement,1
dbpedia_7821,dbo:Location,dbo:Street,0
dbpedia_7821,dbo:Location,dbo:PopulatedPlace,1
dbpedia_7821,dbo:Location,dbo:SkiResort,0
dbpedia_7821,dbo:Location,dbo:Place,1
dbpedia_7821,dbo:Location,dbo:CelestialBody,0
dbpedia_7821,dbo:Location,dbo:Location,1
dbpedia_7821,dbo:Location,dbo:PersonFunction,0
dbpedia_17524,dbo:Agent,dbo:Company,1
dbpedia_17524,dbo:Agent,dbo:PoliticalParty,0
dbpedia_17524,dbo:Agent,dbo:Organisation,1
dbpedia_17524,dbo:Agent,dbo:Family,0
dbpedia_17524,dbo:Agent,dbo:Agent,1
dbpedia_17524,dbo:Agent,dbo:Country,0
dbpedia_10913,dbo:TopicalConcept,dbo:AcademicSubject,1
dbpedia_10913,dbo:TopicalConcept,dbo:MedicalSpecialty,0
dbpedia_10913,dbo:TopicalConcept,dbo:TopicalConcept,1
dbpedia_10913,dbo:TopicalConcept,dbo:MountainRange,0
dbpedia_3594,dbo:Agent,dbo:Organisation,1
dbpedia_3594,dbo:Agent,dbo:Family,0
dbpedia_3594,dbo:Agent,dbo:Agent,1
dbpedia_3594,dbo:Agent,dbo:Country,0
dbpedia_8061,dbo:Location,dbo:City,1
dbpedia_8061,dbo:Location,dbo:HistoricalSettlement,0
dbpedia_8061,dbo:Location,dbo:State,1
dbpedia_8061,dbo:Location,dbo:Department,0
dbpedia_8061,dbo:Location,dbo:Settlement,1
dbpedia_8061,dbo:Location,dbo:Street,0
dbpedia_8061,dbo:Location,dbo:PopulatedPlace,1
dbpedia_8061,dbo:Location,dbo:SkiResort,0
dbpedia_8061,dbo:Location,dbo:Place,1
dbpedia_8061,dbo:Location,dbo:CelestialBody,0
dbpedia_8061,dbo:Location,dbo:Location,1
dbpedia_8061,dbo:Location,dbo:BaseballTeam,0
dbpedia_13337,dbo:Species,dbo:Animal,1
dbpedia_13337,dbo:Species,dbo:Fungus,0
dbpedia_13337,dbo:Species,dbo:Eukaryote,1
dbpedia_13337,dbo:Species,dbo:Eukaryote,0
dbpedia_13337,dbo:Species,dbo:Species,1
dbpedia_13337,dbo:Species,dbo:TopicalConcept,0
dbpedia_21997,dbo:Location,dbo:Country,1
dbpedia_21997,dbo:Location,dbo:Department,0
dbpedia_21997,dbo:Location,dbo:Island,1
dbpedia_21997,dbo:Location,dbo:Street,0
dbpedia_21997,dbo:Location,dbo:PopulatedPlace,1
dbpedia_21997,dbo:Location,dbo:SkiResort,0
dbpedia_21997,dbo:Location,dbo:Place,1
dbpedia_21997,dbo:Location,dbo:CelestialBody,0
dbpedia_21997,dbo:Location,dbo:Location,1
dbpedia_21997,dbo:Location,dbo:Flag,0
dbpedia_10344,dbo:Location,dbo:Country,1
dbpedia_10344,dbo:Location,dbo:Department,0
dbpedia_10344,dbo:Location,dbo:State,1
dbpedia_10344,dbo:Location,dbo:Street,0
dbpedia_10344,dbo:Location,dbo:PopulatedPlace,1
dbpedia_10344,dbo:Location,dbo:SkiResort,0
dbpedia_10344,dbo:Location,dbo:Place,1
dbpedia_10344,dbo:Location,dbo:CelestialBody,0
dbpedia_10344,dbo:Location,dbo:Location,1
dbpedia_10344,dbo:Location,dbo:MountainRange,0
dbpedia_21494,dbo:Agent,dbo:Writer,1
dbpedia_21494,dbo:Agent,dbo:Host,0
dbpedia_21494,dbo:Agent,dbo:Person,1
dbpedia_21494,dbo:Agent,dbo:Family,0
dbpedia_21494,dbo:Agent,dbo:Agent,1
dbpedia_21494,dbo:Agent,dbo:Device,0
dbpedia_22745,dbo:Agent,dbo:Company,1
dbpedia_22745,dbo:Agent,dbo:PoliticalParty,0
dbpedia_22745,dbo:Agent,dbo:Organisation,1
dbpedia_22745,dbo:Agent,dbo:Family,0
dbpedia_22745,dbo:Agent,dbo:Agent,1
dbpedia_22745,dbo:Agent,dbo:River,0
dbpedia_13922,dbo:Media,dbo:Media,1
